
--- Locating docker-compose.yml ---
/root/qscrap-temp/docker-compose.yml
/opt/qscrap/docker-compose.yml

--- Backend Logs (from /opt/qscrap) ---
qscrap-backend  | [2026-02-19T08:24:44.218Z] [INFO] [node-40] Request completed {"requestId":"cdca18ae-9bd8-41f3-8489-44112cb13ba4","method":"GET","path":"/pending","statusCode":304,"durationMs":7}
qscrap-backend  | [2026-02-19T08:24:44.221Z] [INFO] [node-40] Request completed {"requestId":"dd889ec6-8752-477b-a637-2031f4484672","method":"GET","path":"/payouts","statusCode":304,"durationMs":8}
qscrap-backend  | [2026-02-19T08:25:14.074Z] [INFO] [node-40] Request started {"requestId":"3f3ba0da-7253-4b55-92f9-46b1f5aa30bd","method":"GET","path":"/api/operations/dashboard/stats"}
qscrap-backend  | [2026-02-19T08:25:14.077Z] [INFO] [node-40] Request completed {"requestId":"3f3ba0da-7253-4b55-92f9-46b1f5aa30bd","method":"GET","path":"/dashboard/stats","statusCode":304,"durationMs":3}
qscrap-backend  | [2026-02-19T08:25:14.209Z] [INFO] [node-40] Request started {"requestId":"cdc6633e-cf5f-40ee-abf2-24cf82336ab8","method":"GET","path":"/api/operations/dashboard/stats"}
qscrap-backend  | [2026-02-19T08:25:14.210Z] [INFO] [node-40] Request started {"requestId":"972ef25e-9f0e-47f1-8078-d5734f450125","method":"GET","path":"/api/reviews/pending"}
qscrap-backend  | [2026-02-19T08:25:14.213Z] [INFO] [node-40] Request started {"requestId":"53eb86aa-09c4-41e3-bb03-5db9cf392bf8","method":"GET","path":"/api/finance/payouts"}
qscrap-backend  | [2026-02-19T08:25:14.219Z] [INFO] [node-40] Request completed {"requestId":"972ef25e-9f0e-47f1-8078-d5734f450125","method":"GET","path":"/pending","statusCode":304,"durationMs":9}
qscrap-backend  | [2026-02-19T08:25:14.219Z] [INFO] [node-40] Request completed {"requestId":"cdc6633e-cf5f-40ee-abf2-24cf82336ab8","method":"GET","path":"/dashboard/stats","statusCode":304,"durationMs":10}
qscrap-backend  | [2026-02-19T08:25:14.222Z] [INFO] [node-40] Request completed {"requestId":"53eb86aa-09c4-41e3-bb03-5db9cf392bf8","method":"GET","path":"/payouts","statusCode":304,"durationMs":9}
qscrap-backend  | [2026-02-19T08:25:20.186Z] [INFO] [node-40] Request started {"requestId":"5103ced8-863d-4c9e-aac3-6c2845947a93","method":"GET","path":"/api/operations/orders"}
qscrap-backend  | [2026-02-19T08:25:20.195Z] [INFO] [node-40] Request completed {"requestId":"5103ced8-863d-4c9e-aac3-6c2845947a93","method":"GET","path":"/orders","statusCode":304,"durationMs":9}
qscrap-backend  | [2026-02-19T08:25:20.325Z] [INFO] [node-40] Request started {"requestId":"469c1362-3c49-4d49-beeb-d5a8824d0cfd","method":"GET","path":"/api/operations/orders"}
qscrap-backend  | [2026-02-19T08:25:20.334Z] [INFO] [node-40] Request completed {"requestId":"469c1362-3c49-4d49-beeb-d5a8824d0cfd","method":"GET","path":"/orders","statusCode":304,"durationMs":9}
qscrap-backend  | [2026-02-19T08:25:29.353Z] [INFO] [node-40] Request started {"requestId":"efacde64-d31b-4e6d-8c47-528110e0e9f6","method":"GET","path":"/api/orders/7c0cf75c-c52e-4d59-be47-23ecd8c6a6ca"}
qscrap-backend  | [2026-02-19T08:25:29.366Z] [INFO] [node-40] Request completed {"requestId":"efacde64-d31b-4e6d-8c47-528110e0e9f6","method":"GET","path":"/7c0cf75c-c52e-4d59-be47-23ecd8c6a6ca","statusCode":200,"durationMs":13}
qscrap-backend  | [2026-02-19T08:25:29.499Z] [INFO] [node-40] Request started {"requestId":"17af779f-585b-4669-851e-c94d71465fbd","method":"GET","path":"/api/orders/7c0cf75c-c52e-4d59-be47-23ecd8c6a6ca"}
qscrap-backend  | [2026-02-19T08:25:29.508Z] [INFO] [node-40] Request completed {"requestId":"17af779f-585b-4669-851e-c94d71465fbd","method":"GET","path":"/7c0cf75c-c52e-4d59-be47-23ecd8c6a6ca","statusCode":304,"durationMs":9}
qscrap-backend  | [2026-02-19T08:25:42.321Z] [INFO] [node-40] Request started {"requestId":"fcd82154-2bc4-411a-b927-840576100855","method":"GET","path":"/api/dashboard/garage/my-payout-statement"}
qscrap-backend  | [2026-02-19T08:25:47.866Z] [INFO] [node-40] Request completed {"requestId":"fcd82154-2bc4-411a-b927-840576100855","method":"GET","path":"/garage/my-payout-statement","statusCode":200,"durationMs":5545}
qscrap-backend  | [2026-02-19T08:26:02.999Z] [INFO] [node-40] Request started {"requestId":"ca769601-70e5-434a-9097-aa36e8ad7250","method":"GET","path":"/lib/leaflet/leaflet.css"}
qscrap-backend  | [2026-02-19T08:26:03.002Z] [INFO] [node-40] Request completed {"requestId":"ca769601-70e5-434a-9097-aa36e8ad7250","method":"GET","path":"/lib/leaflet/leaflet.css","statusCode":304,"durationMs":3}
qscrap-backend  | [2026-02-19T08:26:03.003Z] [INFO] [node-40] Request started {"requestId":"73fd7cc7-3ef7-4b3e-bbc2-15a3d1bcacfe","method":"GET","path":"/css/operations-dashboard.css"}
qscrap-backend  | [2026-02-19T08:26:03.007Z] [INFO] [node-40] Request completed {"requestId":"73fd7cc7-3ef7-4b3e-bbc2-15a3d1bcacfe","method":"GET","path":"/css/operations-dashboard.css","statusCode":304,"durationMs":4}
qscrap-backend  | [2026-02-19T08:26:03.008Z] [INFO] [node-40] Request started {"requestId":"6a0c1bc8-c929-42b1-809f-5b669fcdbca2","method":"GET","path":"/css/shared.css"}
qscrap-backend  | [2026-02-19T08:26:03.010Z] [INFO] [node-40] Request started {"requestId":"c2da425b-4308-4c4c-b491-33e6f253806a","method":"GET","path":"/assets/bootstrap-icons/bootstrap-icons.css"}
qscrap-backend  | [2026-02-19T08:26:03.012Z] [INFO] [node-40] Request completed {"requestId":"6a0c1bc8-c929-42b1-809f-5b669fcdbca2","method":"GET","path":"/css/shared.css","statusCode":304,"durationMs":4}
qscrap-backend  | [2026-02-19T08:26:03.013Z] [INFO] [node-40] Request completed {"requestId":"c2da425b-4308-4c4c-b491-33e6f253806a","method":"GET","path":"/assets/bootstrap-icons/bootstrap-icons.css","statusCode":304,"durationMs":3}
qscrap-backend  | [2026-02-19T08:26:03.128Z] [INFO] [node-40] Request started {"requestId":"53ea0a54-ab78-42c3-9742-a569c7eb05ec","method":"GET","path":"/lib/leaflet/leaflet.js.map"}
qscrap-backend  | [2026-02-19T08:26:03.129Z] [WARN] [node-40] Request completed {"requestId":"53ea0a54-ab78-42c3-9742-a569c7eb05ec","method":"GET","path":"/lib/leaflet/leaflet.js.map","statusCode":404,"durationMs":1}
qscrap-backend  | [2026-02-19T08:26:04.050Z] [INFO] [node-40] Request started {"requestId":"dd6d611e-b5e2-47b6-8f20-ba89d0ec5247","method":"GET","path":"/api/orders/my"}
qscrap-backend  | [2026-02-19T08:26:04.053Z] [INFO] [node-40] Request started {"requestId":"779e7698-2914-41ee-8a68-de3b42c3a552","method":"GET","path":"/api/dashboard/garage/stats"}
qscrap-backend  | [2026-02-19T08:26:04.059Z] [INFO] [node-40] Request started {"requestId":"15474f18-2a4b-41d1-8759-2a2bfd681f7f","method":"GET","path":"/api/notifications"}
qscrap-backend  | [2026-02-19T08:26:04.082Z] [INFO] [node-40] Request completed {"requestId":"dd6d611e-b5e2-47b6-8f20-ba89d0ec5247","method":"GET","path":"/my","statusCode":200,"durationMs":32}
qscrap-backend  | [2026-02-19T08:26:04.096Z] [INFO] [node-40] Request completed {"requestId":"15474f18-2a4b-41d1-8759-2a2bfd681f7f","method":"GET","path":"/","statusCode":304,"durationMs":37}
qscrap-backend  | [2026-02-19T08:26:04.106Z] [INFO] [node-40] Request completed {"requestId":"779e7698-2914-41ee-8a68-de3b42c3a552","method":"GET","path":"/garage/stats","statusCode":304,"durationMs":53}
qscrap-backend  | [2026-02-19T08:26:08.458Z] [INFO] [node-40] Request started {"requestId":"0e8233f8-8aa3-4cec-be39-289876a4035d","method":"GET","path":"/operations-dashboard.html"}
qscrap-backend  | [2026-02-19T08:26:08.459Z] [INFO] [node-40] Request completed {"requestId":"0e8233f8-8aa3-4cec-be39-289876a4035d","method":"GET","path":"/operations-dashboard.html","statusCode":304,"durationMs":1}
qscrap-backend  | [2026-02-19T08:26:08.606Z] [INFO] [node-40] Request started {"requestId":"a5d17fa4-02ba-441a-8189-d8bc7b86498d","method":"GET","path":"/lib/leaflet/leaflet.css"}
qscrap-backend  | [2026-02-19T08:26:08.607Z] [INFO] [node-40] Request started {"requestId":"6432e5c8-c173-434b-a431-2f753caccb49","method":"GET","path":"/css/shared.css"}
qscrap-backend  | [2026-02-19T08:26:08.608Z] [INFO] [node-40] Request completed {"requestId":"a5d17fa4-02ba-441a-8189-d8bc7b86498d","method":"GET","path":"/lib/leaflet/leaflet.css","statusCode":304,"durationMs":2}
